,method,n,d,q,p,time
387,Decrypt,24,8,32,3,0.0008755244001804385
388,Addition,24,8,32,3,0.00012055759980285074
389,Multiplication,24,8,32,3,0.5927549435000401
390,KeyGen,24,22,32,3,2.8028010792000715
391,Encryption,24,22,32,3,0.10891964639995422
392,Decrypt,24,22,32,3,0.003886404299919377
393,Addition,24,22,32,3,0.00019266410017735325
394,Multiplication,24,22,32,3,2.84617272079995
395,KeyGen,24,10,32,3,0.8770125857001403
396,Encryption,24,10,32,3,0.02795686530007515
397,Decrypt,24,10,32,3,0.0011077862000092864
398,Addition,24,10,32,3,0.0001304417000937974
399,Multiplication,24,10,32,3,0.7859544987997651
400,KeyGen,24,24,32,3,3.256226891500046
401,Encryption,24,24,32,3,0.12835091630004172
402,Decrypt,24,24,32,3,0.005010927900002571
403,Addition,24,24,32,3,0.00018696990009630098
404,Multiplication,24,24,32,3,3.466888380299861
405,KeyGen,24,26,32,3,3.8768790909001836
406,Encryption,24,26,32,3,0.13025860359994113
407,Decrypt,24,26,32,3,0.005119377200026065
408,Addition,24,26,32,3,0.0002104914001392899
409,Multiplication,24,26,32,3,4.057278732299892
410,KeyGen,24,28,32,3,4.25593942159976
411,Encryption,24,28,32,3,0.15631569729994227
412,Decrypt,24,28,32,3,0.006112545900032273
413,Addition,24,28,32,3,0.0002233726998383645
414,Multiplication,24,28,32,3,4.572672644599879
415,KeyGen,24,30,32,3,4.781715030800115
416,Encryption,24,30,32,3,0.17614342880006006
417,Decrypt,24,30,32,3,0.0074046249999810245
418,Addition,24,30,32,3,0.0002992991998326033
419,Multiplication,24,30,32,3,5.163803958499921
420,KeyGen,22,20,32,3,1.9338563998997416
421,Encryption,22,20,32,3,0.07247193549992517
422,Decrypt,22,20,32,3,0.0032784877002995927
423,Addition,22,20,32,3,0.00014839309988019523
424,Multiplication,22,20,32,3,1.9104493973998615
425,KeyGen,22,18,32,3,1.6572004916000878
426,Encryption,22,18,32,3,0.0616535319997638
427,Decrypt,22,18,32,3,0.0025216818001354115
428,Addition,22,18,32,3,0.0001567822000652086
429,Multiplication,22,18,32,3,1.5631019898002705
430,KeyGen,22,22,32,3,2.316346840699771
431,Encryption,22,22,32,3,0.08565287169985822
432,Decrypt,22,22,32,3,0.0035626597000373295
433,Addition,22,22,32,3,0.00017612470001040492
434,Multiplication,22,22,32,3,2.174083429899838
435,KeyGen,22,16,32,3,1.2924917981999897
436,Encryption,22,16,32,3,0.04785630900005344
437,Decrypt,22,16,32,3,0.0020863527002802583
438,Addition,22,16,32,3,0.00014680109998153057
439,Multiplication,22,16,32,3,1.2770589718998964
440,KeyGen,22,24,32,3,2.5712234437000006
441,Encryption,22,24,32,3,0.10561230189996422
442,Decrypt,22,24,32,3,0.003972320299726562
443,Addition,22,24,32,3,0.00018713190002017654
444,Multiplication,22,24,32,3,2.5409124965000958
445,KeyGen,24,32,32,3,5.307798740300131
446,Encryption,24,32,32,3,0.191342409400022
447,Decrypt,24,32,32,3,0.007798850299877813
448,Addition,24,32,32,3,0.0002383450002525933
449,Multiplication,24,32,32,3,5.719627161000244
450,KeyGen,22,14,32,3,1.0601612982998632
451,Encryption,22,14,32,3,0.039125465100005384
452,Decrypt,22,14,32,3,0.0016995705998851917
453,Addition,22,14,32,3,0.00013983589997224044
454,Multiplication,22,14,32,3,1.0393304449997232
455,KeyGen,22,1,32,3,0.09124182979976467
456,Encryption,22,1,32,3,0.0027399734000937313
457,Decrypt,22,1,32,3,0.0001592642998730298
458,Addition,22,1,32,3,7.516459991165902e-05
459,Multiplication,22,1,32,3,0.06672436279986868
460,KeyGen,22,4,32,3,0.220719519100021
461,Encryption,22,4,32,3,0.0072859036998124795
462,Decrypt,22,4,32,3,0.0003532473998347996
463,Addition,22,4,32,3,9.125389988184907e-05
464,Multiplication,22,4,32,3,0.18526420499983942
465,KeyGen,22,2,32,3,0.1287883810000494
466,Encryption,22,2,32,3,0.004071693399964715
467,Decrypt,22,2,32,3,0.00020655539992731065
468,Addition,22,2,32,3,8.142469996528235e-05
469,Multiplication,22,2,32,3,0.09950251400005072
470,KeyGen,22,8,32,3,0.47955612570003725
471,Encryption,22,8,32,3,0.016228083099849754
472,Decrypt,22,8,32,3,0.0007643240001925733
473,Addition,22,8,32,3,0.00011104029981652274
474,Multiplication,22,8,32,3,0.43210833310004093
